time,x,y,pressure,touching
321262.8999999985,341.95001220703125,120.78125,0.9799999594688416,1
321269.299999997,341.95001220703125,120.78125,0.9699999690055847,1
321302.299999997,344.60479736328125,131.0450439453125,1.1200000047683716,1
321343.299999997,344.6000061035156,138.62754821777344,1.1899999380111694,1
321352.299999997,344.0718688964844,146.4835968017578,1.100000023841858,1
321376.299999997,341.0240783691406,158.57412719726562,1.159999966621399,1
321393.299999997,338.6462097167969,165.23716735839844,1.1799999475479126,1
321410.299999997,335.1083984375,173.7384490966797,1.1699999570846558,1
321426.299999997,332.5323181152344,181.7036895751953,1.1999999284744263,1
321443.299999997,328.4002380371094,190.3640899658203,1.1799999475479126,1
321460.299999997,325.2267761230469,197.5205078125,1.25,1
321476.299999997,323.4208068847656,202.1597442626953,1.2400000095367432,1
321493.299999997,321.755859375,209.6185760498047,1.2599999904632568,1
321510.299999997,320.1730651855469,216.8087615966797,1.2899999618530273,1
321526.299999997,319.3768005371094,221.4498748779297,1.2999999523162842,1
321543.299999997,318.37408447265625,230.6015625,1.3199999332427979,1
321560.299999997,317.8360290527344,236.1951141357422,1.3199999332427979,1
321576.299999997,317.23321533203125,241.7521514892578,1.1699999570846558,1
321593.299999997,316.6326599121094,249.6572265625,1.3299999237060547,1
321610.299999997,315.7308044433594,254.7794647216797,1.3299999237060547,1
321626.299999997,314.5753479003906,259.16754150390625,1.2599999904632568,1
321643.299999997,312.12384033203125,266.72882080078125,1.3399999141693115,1
321660.299999997,310.00177001953125,272.0099792480469,1.4499999284744263,1
321676.299999997,307.2240295410156,276.19384765625,1.3600000143051147,1
321693.299999997,304.5197448730469,281.3498229980469,1.2699999809265137,1
321710.299999997,302.1076354980469,287.4380798339844,1.3600000143051147,1
321726.299999997,300.2521667480469,291.94561767578125,1.350000023841858,1
321743.299999997,298.4546813964844,295.88189697265625,1.3399999141693115,1
321760.299999997,295.1593322753906,301.785400390625,1.3799999952316284,1
321776.299999997,290.46246337890625,307.9594421386719,1.350000023841858,1
321793.299999997,287.2415466308594,312.7719421386719,1.3600000143051147,1
321810.299999997,284.2353210449219,318.5732421875,1.3299999237060547,1
321826.299999997,281.95806884765625,324.3431091308594,1.350000023841858,1
321843.299999997,280.7220764160156,327.8650817871094,1.350000023841858,1
321860.299999997,279.82843017578125,330.706787109375,1.3399999141693115,1
321876.299999997,278.9756774902344,333.3102111816406,1.2999999523162842,1
321893.299999997,278.3370666503906,335.2303771972656,1.2999999523162842,1
321910.299999997,278.1000061035156,337.29571533203125,1.1799999475479126,1
321926.299999997,278.1000061035156,340.2106018066406,1.309999942779541,1
321943.299999997,278.41607666015625,342.69287109375,1.2899999618530273,1
321960.299999997,278.8500061035156,343.73126220703125,1.209999918937683,1
321977,278.8500061035156,343.73126220703125,0.5,0
322546.09999999404,358.1000671386719,135.93125915527344,1.100000023841858,1
322553.299999997,358.1000671386719,135.93125915527344,1.090000033378601,1
322643.299999997,362.39947509765625,155.15538024902344,1.1999999284744263,1
322659.299999997,365.05352783203125,168.21861267089844,1.2599999904632568,1
322676.299999997,366.616943359375,175.3029022216797,1.2699999809265137,1
322693.299999997,369.5632019042969,185.0776824951172,1.2300000190734863,1
322709.299999997,376.2216491699219,195.1794891357422,1.3299999237060547,1
322726.299999997,379.7284851074219,200.67564392089844,1.350000023841858,1
322743.299999997,385.1474304199219,213.1266632080078,1.350000023841858,1
322759.299999997,388.125244140625,218.76011657714844,1.3799999952316284,1
322776.299999997,396.4223327636719,228.133056640625,1.2999999523162842,1
322793.299999997,401.4482116699219,234.5715789794922,1.409999966621399,1
322809.299999997,405.1374206542969,238.3161163330078,1.4199999570846558,1
322826.299999997,408.4351501464844,242.8936004638672,1.4499999284744263,1
322843.299999997,412.3324890136719,249.806396484375,1.4499999284744263,1
322859.299999997,417.9567565917969,255.9216766357422,1.3899999856948853,1
322876.299999997,421.4858093261719,259.72967529296875,1.3799999952316284,1
322893.299999997,425.2975769042969,268.15167236328125,1.409999966621399,1
322909.299999997,427.0090026855469,273.212158203125,1.4199999570846558,1
322926.299999997,428.5660095214844,277.50604248046875,1.350000023841858,1
322943.299999997,430.88525390625,286.10943603515625,1.3899999856948853,1
322959.299999997,432.4795837402344,291.02813720703125,1.5699999332427979,1
322976.299999997,435.18408203125,295.6240234375,1.3899999856948853,1
322993.299999997,438.3985290527344,300.5801696777344,1.399999976158142,1
323009.299999997,441.1459655761719,306.16925048828125,1.4499999284744263,1
323026.299999997,442.96710205078125,309.541748046875,1.4800000190734863,1
323043.299999997,444.6127624511719,312.23980712890625,1.5,1
323059.299999997,446.1049499511719,314.205810546875,1.459999918937683,1
323076.299999997,448.63507080078125,316.2814636230469,1.4800000190734863,1
323093.299999997,453.20806884765625,318.03271484375,1.409999966621399,1
323110.19999999553,454.95001220703125,318.0812683105469,1.3700000047683716,1
323118.5,454.95001220703125,318.0812683105469,0.5,0
325038,322.8500061035156,244.78125,1.1399999856948853,1
325044.299999997,322.8500061035156,244.78125,1.0799999237060547,1
325060.299999997,324.18389892578125,244.6116180419922,1.090000033378601,1
325068.299999997,333.5539245605469,243.2363739013672,1.149999976158142,1
325119.299999997,339.14605712890625,242.8359375,1.159999966621399,1
325135.299999997,344.23834228515625,242.32373046875,1.2300000190734863,1
325160.299999997,348.3724060058594,241.9781951904297,1.25,1
325176.299999997,351.99859619140625,241.575439453125,1.2400000095367432,1
325193.299999997,356.447998046875,241.2227020263672,1.309999942779541,1
325210.299999997,362.0905456542969,240.9259490966797,1.2799999713897705,1
325226.299999997,366.51055908203125,240.829833984375,1.3199999332427979,1
