time,x,y,pressure,touching
254660.69999999553,448.1000671386719,107.6812515258789,1.1699999570846558,1
254667.29999999702,448.1000671386719,107.6812515258789,1.2300000190734863,1
254749.29999999702,448.25,105.2472152709961,1.2400000095367432,1
254799.29999999702,448.7431335449219,103.6036148071289,1.2699999809265137,1
254816.29999999702,448.0166931152344,100.9146499633789,1.1200000047683716,1
254833.29999999702,441.5234375,99.38897705078125,1.25,1
254850.29999999702,430.3345642089844,99.9410171508789,1.2400000095367432,1
254874.29999999702,415.1999206542969,103.10871887207031,1.3799999952316284,1
254890.29999999702,400.05712890625,102.3427963256836,1.3799999952316284,1
254907.29999999702,384.63330078125,108.8536605834961,1.350000023841858,1
254924.29999999702,367.8437194824219,123.62053680419922,1.3299999237060547,1
254941.29999999702,355.346435546875,138.0734100341797,1.2899999618530273,1
254957.29999999702,339.3127136230469,156.1285400390625,1.2799999713897705,1
254974.29999999702,326.4552917480469,174.6932830810547,1.2999999523162842,1
254991.29999999702,317.103759765625,192.45664978027344,1.2999999523162842,1
255007.29999999702,308.1491394042969,213.04248046875,1.309999942779541,1
255024.29999999702,303.064453125,231.77159118652344,1.350000023841858,1
255041.29999999702,302.95001220703125,249.5702362060547,1.3600000143051147,1
255057.29999999702,307.9726257324219,266.720458984375,1.3299999237060547,1
255074.29999999702,316.18170166015625,282.2265319824219,1.2899999618530273,1
255091.29999999702,328.6573791503906,294.1458435058594,1.3700000047683716,1
255107.29999999702,344.0108337402344,305.27581787109375,1.3399999141693115,1
255124.29999999702,361.3360290527344,313.17999267578125,1.3799999952316284,1
255141.29999999702,380.09625244140625,317.352783203125,1.409999966621399,1
255157.29999999702,400.4537048339844,319.3990783691406,1.3799999952316284,1
255174.29999999702,421.99566650390625,320.73126220703125,1.350000023841858,1
255191.29999999702,442.06964111328125,320.36114501953125,1.3399999141693115,1
255207.29999999702,460.2558288574219,318.893798828125,1.0299999713897705,1
255224.69999999553,459.8999938964844,318.9312438964844,0.5,0
