time,x,y,pressure,touching
391175,304.1000061035156,81.83125305175781,1.149999976158142,1
391180.299999997,304.1000061035156,81.83125305175781,1.149999976158142,1
391445.299999997,304.1000061035156,87.5848617553711,1.2999999523162842,1
391463.299999997,304.1000061035156,99.37835693359375,1.2400000095367432,1
391472.299999997,304.1000061035156,110.0819320678711,1.309999942779541,1
391496.299999997,304.1000061035156,121.75957489013672,1.3899999856948853,1
391512.299999997,302.797119140625,131.71670532226562,1.3199999332427979,1
391529.299999997,302.3000183105469,142.55972290039062,1.399999976158142,1
391545.299999997,301.52130126953125,153.84703063964844,1.2599999904632568,1
391562.299999997,300.6905822753906,164.72154235839844,1.2599999904632568,1
391579.299999997,300.1387634277344,178.1040496826172,1.3199999332427979,1
391595.299999997,300,187.7389373779297,1.3899999856948853,1
391612.299999997,299.7383728027344,199.13462829589844,1.3399999141693115,1
391629.299999997,299.5409851074219,214.2135467529297,1.3600000143051147,1
391645.299999997,299.5500183105469,226.74595642089844,1.4800000190734863,1
391662.299999997,299.19390869140625,236.7916717529297,1.350000023841858,1
391679.299999997,299.20001220703125,248.1879119873047,1.3700000047683716,1
391695.299999997,298.8955993652344,258.8127136230469,1.459999918937683,1
391712.299999997,298.4945373535156,269.82281494140625,1.409999966621399,1
391729.299999997,298.3500061035156,277.910400390625,1.4800000190734863,1
391746.299999997,298.3500061035156,288.3340759277344,1.3899999856948853,1
391762.299999997,298.3500061035156,293.82269287109375,1.3799999952316284,1
391779.299999997,298.55279541015625,301.7753601074219,1.3899999856948853,1
391795.299999997,298.8580627441406,308.74224853515625,1.4399999380111694,1
391812.299999997,299.42071533203125,313.15032958984375,1.3600000143051147,1
391829.299999997,300.05743408203125,319.24853515625,1.3700000047683716,1
391845.299999997,300.3582458496094,324.8924865722656,1.3799999952316284,1
391862.299999997,300.5049743652344,328.2110290527344,1.3899999856948853,1
391879.299999997,301.72540283203125,330.9843444824219,1.5099999904632568,1
391895.299999997,302.5154724121094,332.3070373535156,1.409999966621399,1
391912.299999997,303.06060791015625,333.094482421875,1.5099999904632568,1
391929.299999997,303.303466796875,333.3858337402344,1.4800000190734863,1
391945.299999997,303.7077331542969,333.8405456542969,1.5,1
391962.299999997,306.4325866699219,333.6688537597656,0.949999988079071,1
391979.5,306.3500061035156,333.6812438964844,0.5,0
392673.799999997,377.95001220703125,64.08125305175781,1.1899999380111694,1
392680.299999997,381.9809265136719,64.29341125488281,1.3399999141693115,1
392695.299999997,391.3058776855469,64.28125,1.2599999904632568,1
392712.299999997,403.33575439453125,64.4983139038086,1.2899999618530273,1
392729.299999997,415.70220947265625,64.21331787109375,1.2400000095367432,1
392745.299999997,427.06988525390625,65.5355453491211,1.3799999952316284,1
392762.299999997,438.757080078125,68.26373291015625,1.3399999141693115,1
392779.299999997,450.2162780761719,70.54475402832031,1.209999918937683,1
392795.299999997,457.95660400390625,72.18257141113281,1.25,1
392812.299999997,464.628662109375,73.21075439453125,1.2899999618530273,1
392829.299999997,472.9696960449219,75.14117431640625,1.3199999332427979,1
