time,x,y,pressure,touching
268196,345.6000061035156,85.9312515258789,0.8999999761581421,1
268201.299999997,345.6000061035156,85.9312515258789,1.0099999904632568,1
268308.299999997,348.56134033203125,107.3677978515625,1.2200000286102295,1
268324.299999997,349.8800964355469,127.2994155883789,1.2300000190734863,1
268341.299999997,350.5500183105469,153.1534423828125,1.1299999952316284,1
268358.299999997,351.3611755371094,176.985107421875,1.25,1
268374.299999997,352.35797119140625,199.977294921875,1.2899999618530273,1
268391.299999997,353.030517578125,228.1760711669922,1.2799999713897705,1
268408.299999997,353.0527038574219,249.273193359375,1.309999942779541,1
268424.299999997,353.3999938964844,267.4897155761719,1.3399999141693115,1
268441.299999997,354.527587890625,284.7716979980469,1.309999942779541,1
268458.299999997,356.0791015625,300.20697021484375,1.2400000095367432,1
268474.299999997,362.1318359375,309.10540771484375,1.2899999618530273,1
268491.299999997,365.6464538574219,313.1303405761719,1.2400000095367432,1
268508.3999999985,365.5500183105469,313.03125,0.5,0
268994.19999999553,358.1499938964844,91.9312515258789,1.059999942779541,1
269017.299999997,359.980712890625,90.9141845703125,1.0099999904632568,1
269041.299999997,365.50689697265625,87.0118179321289,1.0699999332427979,1
269050.299999997,372.9494323730469,83.2684555053711,1.059999942779541,1
269074.299999997,383.0337829589844,80.2889175415039,1.1699999570846558,1
269091.299999997,395.4154968261719,78.35382080078125,1.1899999380111694,1
269108.299999997,406.7201843261719,77.5707778930664,1.1999999284744263,1
269124.299999997,421.3778991699219,77.58125305175781,1.1799999475479126,1
269141.299999997,437.7134704589844,79.4778823852539,1.2200000286102295,1
269158.299999997,453.26104736328125,86.16865539550781,1.1699999570846558,1
269174.299999997,468.1398620605469,93.1756591796875,1.1899999380111694,1
269191.299999997,480.1387634277344,103.4487533569336,1.25,1
269207.299999997,492.0148620605469,115.61724090576172,1.1100000143051147,1
269224.299999997,499.2715759277344,131.678955078125,1.1200000047683716,1
269241.299999997,502.6088562011719,150.1626739501953,1.100000023841858,1
269258.299999997,503.2787780761719,173.5634765625,1.25,1
269274.299999997,501.3114929199219,194.14794921875,1.3600000143051147,1
269291.299999997,491.9655456542969,215.0314178466797,1.3199999332427979,1
269307.299999997,482.7719421386719,236.18589782714844,1.3600000143051147,1
269324.299999997,466.8503112792969,257.7961120605469,1.3799999952316284,1
269341.299999997,447.9811706542969,278.04083251953125,1.3899999856948853,1
269357.299999997,428.62896728515625,296.7370300292969,1.3399999141693115,1
269374.299999997,409.5195007324219,313.6736755371094,1.3600000143051147,1
269391.299999997,391.5404968261719,328.50244140625,1.350000023841858,1
269407.299999997,377.1625671386719,335.983642578125,1.2699999809265137,1
269425,368.8500671386719,342.03125,1.1100000143051147,1
269433.3999999985,368.8500671386719,342.03125,0.5,0
