time,x,y,pressure,touching,latency
1630058.1000000015,381.25,102.65625,1.4299999475479126,1,761
1630065.3999999985,381.25,102.65625,1.309999942779541,1,761
1630088.3999999985,380.3578796386719,108.00322723388672,1.3799999952316284,1,761
1630121.3999999985,377.6856384277344,127.1855239868164,1.3799999952316284,1,761
1630138.3999999985,376.1200866699219,144.90867614746094,1.4499999284744263,1,761
1630154.3999999985,374.58673095703125,163.79747009277344,1.46999990940094,1,761
1630171.3999999985,373.1388854980469,183.5507354736328,1.5199999809265137,1,761
1630188.3999999985,372.3999938964844,202.69107055664062,1.5299999713897705,1,761
1630205.3999999985,369.328857421875,221.81582641601562,1.6399999856948853,1,761
1630221.3999999985,368.284912109375,238.44224548339844,1.6200000047683716,1,761
1630238.3999999985,366.2985534667969,254.20640563964844,1.5899999141693115,1,761
1630254.3999999985,365.1845397949219,262.85284423828125,1.6399999856948853,1,761
1630271.3999999985,365.20001220703125,269.9833068847656,1.6399999856948853,1,761
1630288.3999999985,365.20001220703125,277.049560546875,1.6200000047683716,1,761
1630304.3999999985,365.4626159667969,280.7132263183594,1.5999999046325684,1,761
1630321.8999999985,365.8000183105469,282.35626220703125,1.409999966621399,1,761
1630330.5,365.8000183105469,282.35626220703125,0.5,0,761
1630616.0,385.25,100.85625457763672,1.3299999237060547,1,761
1630623.3999999985,385.25,100.85625457763672,1.3299999237060547,1,761
1630639.3999999985,387.1466979980469,97.068603515625,1.3600000143051147,1,761
1630648.3999999985,408.98046875,88.32378387451172,1.5,1,761
1630688.3999999985,423.8012390136719,87.19194793701172,1.4499999284744263,1,761
1630704.3999999985,442.1421813964844,86.60625457763672,1.4800000190734863,1,761
1630721.3999999985,457.9716796875,86.60625457763672,1.5099999904632568,1,761
1630738.3999999985,472.1298828125,87.76665496826172,1.5199999809265137,1,761
1630754.3999999985,480.3742370605469,91.77104949951172,1.46999990940094,1,761
1630771.3999999985,489.0274353027344,96.29705047607422,1.5099999904632568,1,761
1630788.3999999985,494.17584228515625,99.4748306274414,1.4900000095367432,1,761
1630805.1999999955,495.5,100.70625305175781,1.090000033378601,1,761
1630813.6999999955,495.5,100.70625305175781,0.5,0,761
1630999.6999999955,372.0500183105469,197.6062469482422,1.5199999809265137,1,761
1631006.3999999985,372.0500183105469,197.6062469482422,1.4900000095367432,1,761
1631031.3999999985,372.9047546386719,197.330078125,1.5099999904632568,1,761
1631048.3999999985,387.24127197265625,195.0893096923828,1.5699999332427979,1,761
1631071.3999999985,405.3507995605469,192.4468231201172,1.4800000190734863,1,761
1631088.3999999985,426.623046875,185.00279235839844,1.5099999904632568,1,761
1631104.3999999985,443.53179931640625,182.6595916748047,1.5699999332427979,1,761
1631121.3999999985,459.80621337890625,181.8562469482422,1.4900000095367432,1,761
1631138.3999999985,475.2875671386719,182.5641326904297,1.649999976158142,1,761
1631154.3999999985,485.0898132324219,186.1970672607422,1.5799999237060547,1,761
1631171.3999999985,492.9516296386719,189.6779022216797,1.5399999618530273,1,761
1631188.6000000015,494.5,190.6062469482422,1.2799999713897705,1,761
1631196.8999999985,494.5,190.6062469482422,0.5,0,761
1631383.1999999955,361.8999938964844,289.15625,1.5399999618530273,1,761
1631389.3999999985,361.8999938964844,289.15625,1.5199999809265137,1,761
1631431.3999999985,368.7702331542969,289.15625,1.5699999332427979,1,761
1631448.3999999985,385.8534851074219,289.10308837890625,1.6299999952316284,1,761
1631471.3999999985,403.9130554199219,288.85626220703125,1.6299999952316284,1,761
1631488.3999999985,422.91290283203125,288.8062438964844,1.6399999856948853,1,761
1631505.3999999985,441.59967041015625,288.8062438964844,1.6299999952316284,1,761
1631521.3999999985,459.4941101074219,288.965087890625,1.6299999952316284,1,761
1631538.3999999985,475.4742126464844,290.02862548828125,1.6299999952316284,1,761
1631555.3999999985,489.4633483886719,289.74346923828125,1.6200000047683716,1,761
1631571.3999999985,498.77325439453125,292.8434753417969,1.4900000095367432,1,761
1631588.3999999985,509.6613464355469,298.0002136230469,1.2400000095367432,1,761
1631605.5,509.45001220703125,297.90625,0.5,0,761
