time,x,y,pressure,tiltX,tiltY,touching,latency
1493908.299999997,146.4499969482422,85.13750457763672,1.8399999141693115,0,0,1,920
1493915.5,146.4499969482422,85.13750457763672,1.8700000047683716,0,0,1,920
1493939.5,146.14309692382812,87.3370361328125,1.9799998998641968,0,0,1,920
1493989.5,146.15000915527344,94.874755859375,1.8600000143051147,0,0,1,920
1494005.5,146.86668395996094,111.4620590209961,1.909999966621399,0,0,1,920
1494022.5,144.04190063476562,126.970947265625,1.9499999284744263,0,0,1,920
1494038.5,142.67747497558594,145.5276336669922,2.0399999618530273,0,0,1,920
1494055.5,141.4624481201172,165.7855987548828,2.1399998664855957,0,0,1,920
1494071.5,140.8773193359375,188.0334014892578,2.180000066757202,0,0,1,920
1494088.5,140.90000915527344,207.8935546875,2.1499998569488525,0,0,1,920
1494105.5,140.90000915527344,225.2429656982422,2.299999952316284,0,0,1,920
1494122.5,144.08042907714844,239.1024932861328,2.169999837875366,0,0,1,920
1494138.5,146.140380859375,248.9015655517578,2.2899999618530273,0,0,1,920
1494155.5,148.14566040039062,258.5049743652344,2.190000057220459,0,0,1,920
1494171.5,149.3308563232422,263.7171325683594,2.1599998474121094,0,0,1,920
1494188.5,150.11595153808594,266.9564514160156,1.6100000143051147,0,0,1,920
1494205.8999999985,150.30003356933594,268.0375061035156,1.1100000143051147,0,0,1,920
1494214.200000003,150.30003356933594,268.0375061035156,0.5,0,0,0,920
1494464.200000003,150.75,199.83750915527344,2.129999876022339,0,0,1,920
1494471.5,150.75,199.83750915527344,2.1499998569488525,0,0,1,920
1494507.5,164.99099731445312,186.687255859375,2.129999876022339,0,0,1,920
1494571.5,172.509765625,183.1785888671875,2.0799999237060547,0,0,1,920
1494588.5,180.7632293701172,182.2249755859375,2.1599998474121094,0,0,1,920
1494605.5,185.76927185058594,182.2375030517578,2.1399998664855957,0,0,1,920
1494621.5,191.72007751464844,182.7754364013672,2.2899999618530273,0,0,1,920
1494638.5,196.82774353027344,183.59146118164062,2.169999837875366,0,0,1,920
1494655.5,200.44155883789062,185.54043579101562,2.2200000286102295,0,0,1,920
1494671.5,202.984375,191.60391235351562,2.3499999046325684,0,0,1,920
1494688.5,203.30003356933594,203.0807647705078,2.2300000190734863,0,0,1,920
1494705.5,202.0542449951172,209.72476196289062,2.2799999713897705,0,0,1,920
1494721.5,197.67076110839844,215.2096710205078,2.299999952316284,0,0,1,920
1494738.5,193.39671325683594,221.09190368652344,2.2100000381469727,0,0,1,920
1494755.5,190.08811950683594,224.74942016601562,2.1599998474121094,0,0,1,920
1494771.5,183.86026000976562,227.708251953125,2.190000057220459,0,0,1,920
1494788.5,178.12234497070312,229.6619110107422,2.180000066757202,0,0,1,920
1494805.5,174.0970458984375,230.77671813964844,1.5899999141693115,0,0,1,920
1494822.299999997,171.40000915527344,231.08750915527344,1.1799999475479126,0,0,1,920
1494830.6000000015,171.40000915527344,231.08750915527344,0.5,0,0,0,920
1495400.200000003,239.05003356933594,191.78750610351562,1.2899999618530273,0,0,1,920
1495406.5,239.05003356933594,191.78750610351562,1.9499999284744263,0,0,1,920
1495430.5,249.59878540039062,187.7073211669922,2.009999990463257,0,0,1,920
1495488.5,256.653076171875,184.000244140625,2.0799999237060547,0,0,1,920
1495505.5,263.2460021972656,180.8805694580078,2.169999837875366,0,0,1,920
1495521.5,270.574462890625,178.1835479736328,2.109999895095825,0,0,1,920
1495538.5,274.531982421875,176.1121063232422,2.119999885559082,0,0,1,920
1495555.5,277.82916259765625,172.7868194580078,2.25,0,0,1,920
1495571.5,279.6105041503906,168.25161743164062,2.1599998474121094,0,0,1,920
1495588.5,279.75,164.4221649169922,2.1399998664855957,0,0,1,920
1495605.5,279.2128601074219,161.1685791015625,2.0999999046325684,0,0,1,920
1495621.5,276.09576416015625,158.18020629882812,2.009999990463257,0,0,1,920
1495638.5,270.9435729980469,156.39456176757812,2.109999895095825,0,0,1,920
1495655.5,265.8060607910156,156.4375,2.049999952316284,0,0,1,920
1495671.5,257.2256774902344,158.3968505859375,2.059999942779541,0,0,1,920
1495688.5,250.083984375,163.964599609375,2.049999952316284,0,0,1,920
1495705.5,245.17027282714844,172.0684051513672,2.069999933242798,0,0,1,920
1495721.5,241.2860107421875,186.1295928955078,2.0299999713897705,0,0,1,920
1495738.5,240.7395477294922,198.82852172851562,2.049999952316284,0,0,1,920
1495755.5,241.07542419433594,208.5588836669922,2.069999933242798,0,0,1,920
1495771.5,243.8779296875,216.81163024902344,2.2100000381469727,0,0,1,920
1495788.5,249.33982849121094,224.43603515625,2.069999933242798,0,0,1,920
1495805.5,255.15689086914062,227.8909149169922,2.1499998569488525,0,0,1,920
