time,x,y,pressure,tiltX,tiltY,touching,latency
1758034.299999997,248,237.6875,1.1200000047683716,0,0,1,1414
1758041.5,248,237.6875,1.209999918937683,0,0,1,1414
1758056.5,250.3268585205078,229.43443298339844,1.309999942779541,0,0,1,1414
1758081.5,253.8593292236328,216.846435546875,1.2699999809265137,0,0,1,1414
1758098.5,256.4476013183594,203.3532257080078,1.2599999904632568,0,0,1,1414
1758114.5,258.4264221191406,190.610595703125,1.25,0,0,1,1414
1758131.5,259.9859924316406,181.65234375,1.2400000095367432,0,0,1,1414
1758147.5,261.381103515625,171.5194091796875,1.2599999904632568,0,0,1,1414
1758164.5,262.5233459472656,162.3531494140625,1.2400000095367432,0,0,1,1414
1758181.5,263.7183532714844,151.3231201171875,1.25,0,0,1,1414
1758197.5,264.5630798339844,143.67776489257812,1.2400000095367432,0,0,1,1414
1758214.5,265.3073425292969,134.3509521484375,1.25,0,0,1,1414
1758231.5,266.1855163574219,125.63909149169922,1.209999918937683,0,0,1,1414
1758248.5,267.9100036621094,116.67524719238281,1.3199999332427979,0,0,1,1414
1758264.5,269.8575134277344,107.98320770263672,1.3299999237060547,0,0,1,1414
1758281.5,270.7737731933594,100.1836166381836,1.309999942779541,0,0,1,1414
1758297.5,271.4642028808594,92.23528289794922,1.399999976158142,0,0,1,1414
1758314.5,272.92755126953125,86.73188781738281,1.2200000286102295,0,0,1,1414
1758331.5,273.660888671875,80.04707336425781,1.2200000286102295,0,0,1,1414
1758347.5,273.8999938964844,73.6614990234375,1.3899999856948853,0,0,1,1414
1758364.5,272.9312438964844,68.9830551147461,1.309999942779541,0,0,1,1414
1758381.5,272.23883056640625,64.6822509765625,1.409999966621399,0,0,1,1414
1758397.5,271.7387390136719,59.47707748413086,1.2999999523162842,0,0,1,1414
1758414.5,270.7626953125,55.33720779418945,1.2699999809265137,0,0,1,1414
1758431.5,269.8212890625,52.415771484375,1.2899999618530273,0,0,1,1414
1758447.5,268.82177734375,50.3280029296875,1.2699999809265137,0,0,1,1414
1758464.5,268.0268249511719,48.7998046875,1.2699999809265137,0,0,1,1414
1758481.5,267.5392761230469,47.82246017456055,1.2599999904632568,0,0,1,1414
1758497.5,267.1952819824219,46.92644119262695,1.2599999904632568,0,0,1,1414
1758514.5,266.9974670410156,46.6849365234375,1.2699999809265137,0,0,1,1414
1758531.5,266.95001220703125,46.5875244140625,1.2599999904632568,0,0,1,1414
1758647.5,267.5,50.81201171875,1.25,0,0,1,1414
1758664.5,268.6828308105469,55.26555252075195,0.9699999690055847,0,0,1,1414
1758681.700000003,268.6499938964844,55.13750076293945,0.5,0,0,0,1414
1759058.799999997,241.90000915527344,162.1875,1.25,0,0,1,1414
1759065.5,241.90000915527344,162.1875,1.149999976158142,0,0,1,1414
1759090.5,239.68704223632812,162.41079711914062,1.1799999475479126,0,0,1,1414
1759098.5,228.3936767578125,166.2113037109375,1.1899999380111694,0,0,1,1414
1759164.5,222.44534301757812,168.0718231201172,1.2899999618530273,0,0,1,1414
1759181.5,217.11746215820312,170.1395263671875,1.2699999809265137,0,0,1,1414
1759197.5,212.03469848632812,172.6485595703125,1.2200000286102295,0,0,1,1414
