time,x,y,pressure,touching,latency
2494975.4000000022,330.8500061035156,104.10627746582031,1.8899999856948853,1,5445
2494982.1000000015,330.8500061035156,104.10627746582031,1.959999918937683,1,5445
2494998.1000000015,330.4474182128906,106.82373046875,2.2200000286102295,1,5445
2495048.1000000015,329.9458923339844,108.4720230102539,2.2799999713897705,1,5445
2495073.1000000015,328.96197509765625,114.93220520019531,2.0399999618530273,1,5445
2495081.1000000015,328.0433654785156,126.9590835571289,2.0899999141693115,1,5445
2495106.1000000015,326.7131042480469,131.41416931152344,2.75,1,5445
2495122.1000000015,325.100830078125,136.47525024414062,2.259999990463257,1,5445
2495139.1000000015,323.5867614746094,138.0758056640625,2.5199999809265137,1,5445
2495155.1000000015,320.87939453125,142.89439392089844,1.7699999809265137,1,5445
2495172.1000000015,318.83154296875,146.7991485595703,2.669999837875366,1,5445
2495189.1000000015,316.44317626953125,151.0551300048828,1.7899999618530273,1,5445
2495206.1000000015,314.19390869140625,156.349365234375,1.4299999475479126,1,5445
2495222.1000000015,312.12939453125,161.1092071533203,1.0399999618530273,1,5445
2495239.1000000015,309.6852722167969,169.04736328125,2.490000009536743,1,5445
2495255.1000000015,307.60040283203125,176.79052734375,2.819999933242798,1,5445
2495272.1000000015,305.6566467285156,176.80625915527344,1.6200000047683716,1,5445
2495289.1000000015,302.1198425292969,181.28164672851562,1.5799999237060547,1,5445
2495306.1000000015,299.852294921875,186.11416625976562,1.5899999141693115,1,5445
2495322.1000000015,297.8392028808594,190.89907836914062,1.5399999618530273,1,5445
2495339.1000000015,296.1590881347656,194.7483367919922,1.46999990940094,1,5445
2495355.1000000015,294.1375427246094,198.76333618164062,2.180000066757202,1,5445
2495372.1000000015,291.74078369140625,201.47232055664062,1.1999999284744263,1,5445
2495389.1000000015,288.73834228515625,204.83071899414062,2.3299999237060547,1,5445
2495406.1000000015,286.23492431640625,208.5581512451172,2.25,1,5445
2495422.1000000015,284.0928649902344,211.68789672851562,2.2100000381469727,1,5445
2495439.1000000015,281.9423522949219,216.1301727294922,2.2799999713897705,1,5445
2495455.1000000015,280.3077697753906,218.87490844726562,1.3700000047683716,1,5445
2495472.1000000015,278.34869384765625,223.3705596923828,2.1499998569488525,1,5445
2495489.1000000015,276.4092712402344,226.5727081298828,1.2699999809265137,1,5445
2495506.1000000015,272.8766784667969,231.0613250732422,2.259999990463257,1,5445
2495522.1000000015,269.0943908691406,235.89419555664062,2.1599998474121094,1,5445
2495539.1000000015,265.76251220703125,240.16690063476562,1.1899999380111694,1,5445
2495555.1000000015,262.1105651855469,244.7602081298828,2.0799999237060547,1,5445
2495572.1000000015,257.9969787597656,247.3144989013672,1.1100000143051147,1,5445
2495589.1000000015,251.42919921875,253.26475524902344,2.0799999237060547,1,5445
2495606.1000000015,247.75755310058594,260.2093811035156,2.059999942779541,1,5445
2495622.1000000015,244.9707489013672,265.25006103515625,2.0199999809265137,1,5445
2495639.1000000015,242.3672332763672,271.9831237792969,1.1200000047683716,1,5445
2495655.1000000015,239.81272888183594,275.5988464355469,1.209999918937683,1,5445
2495672.1000000015,236.92845153808594,280.0716857910156,2.0999999046325684,1,5445
2495689.1000000015,233.57058715820312,285.1183776855469,1.9499999284744263,1,5445
2495706.1000000015,230.1111297607422,291.4784240722656,2.0399999618530273,1,5445
2495722.1000000015,227.42356872558594,297.48370361328125,1.9900000095367432,1,5445
2495739.1000000015,225.43711853027344,301.2877502441406,1.9399999380111694,1,5445
2495755.1000000015,223.0210418701172,306.6925964355469,1.159999966621399,1,5445
2495772.1000000015,220.69651794433594,311.8319396972656,1.159999966621399,1,5445
2495789.1000000015,217.90086364746094,316.6784362792969,1.1899999380111694,1,5445
2495806.1000000015,215.38157653808594,321.6989440917969,1.909999966621399,1,5445
2495822.1000000015,212.57395935058594,328.7640686035156,1.899999976158142,1,5445
2495839.1000000015,210.1289520263672,334.7809143066406,1.9199999570846558,1,5445
2495855.1000000015,207.94876098632812,341.02471923828125,2.0299999713897705,1,5445
2495872.1000000015,205.91055297851562,346.97467041015625,2.0199999809265137,1,5445
2495889.1000000015,204.52891540527344,350.5964050292969,1.1899999380111694,1,5445
2495906.1000000015,202.5588836669922,355.00543212890625,2.0399999618530273,1,5445
2495922.1000000015,200.91404724121094,358.3885803222656,2.0199999809265137,1,5445
2495939.1000000015,199.72019958496094,360.3600158691406,1.9900000095367432,1,5445
2495956.1000000015,198.32005310058594,362.2702331542969,2.129999876022339,1,5445
2495972.1000000015,197.9499969482422,363.10626220703125,1.1799999475479126,1,5445
2495989.1000000015,196.81932067871094,362.8968200683594,1.1699999570846558,1,5445
2496006.1000000015,196.35000610351562,362.7062683105469,1.8199999332427979,1,5445
2496022.1000000015,196.03433227539062,362.54840087890625,1.0199999809265137,1,5445
2496039.5,196.03433227539062,362.54840087890625,1.559999942779541,1,5445
2496047.8000000007,196.03433227539062,362.54840087890625,0.5,0,5445
2497283.8000000007,381.6499938964844,247.25625610351562,2.1599998474121094,1,5445
2497290.1000000015,381.6499938964844,247.25625610351562,2.119999885559082,1,5445
2497314.1000000015,384.11822509765625,249.11636352539062,1.2899999618530273,1,5445
2497398.1000000015,385.20172119140625,249.85693359375,0.9099999666213989,1,5445
2497423.3000000007,385.20001220703125,249.8562469482422,0.5,0,5445
2499700.4000000022,393.95001220703125,215.2062530517578,2.049999952316284,1,5445
2499707.1000000015,393.95001220703125,215.2062530517578,2.0899999141693115,1,5445
2499732.1000000015,394.20465087890625,216.22476196289062,2.429999828338623,1,5445
2499789.1000000015,394.4941101074219,216.89146423339844,1.4299999475479126,1,5445
2499798.1000000015,396.5063171386719,222.1513671875,1.5099999904632568,1,5445
2499822.1000000015,400.0961608886719,229.80264282226562,2.429999828338623,1,5445
2499839.1000000015,402.7387390136719,234.51646423339844,2.4600000381469727,1,5445
2499856.1000000015,404.0884704589844,235.7919921875,1.409999966621399,1,5445
2499872.1000000015,405.9369812011719,237.44140625,1.2400000095367432,1,5445
2499889.1000000015,412.853515625,246.9572296142578,1.2999999523162842,1,5445
2499906.1000000015,419.46124267578125,257.52740478515625,1.3199999332427979,1,5445
2499922.1000000015,421.96881103515625,259.6601257324219,1.7999999523162842,1,5445
2499939.1000000015,425.6479187011719,263.759765625,1.559999942779541,1,5445
2499956.1000000015,431.4028015136719,271.4279479980469,1.2899999618530273,1,5445
2499972.1000000015,436.0090026855469,276.7304382324219,3.179999828338623,1,5445
2499989.1000000015,439.4284362792969,279.8798828125,3.2100000381469727,1,5445
2500006.1000000015,445.1227722167969,289.7203674316406,3.0799999237060547,1,5445
2500022.1000000015,450.51983642578125,297.68463134765625,1.4299999475479126,1,5445
2500039.1000000015,452.8443298339844,300.2068786621094,3.18999981880188,1,5445
2500056.1000000015,456.2070007324219,303.57769775390625,3.4499998092651367,1,5445
2500072.1000000015,462.239013671875,309.5999450683594,1.6799999475479126,1,5445
2500089.1000000015,468.0278015136719,315.5296325683594,3.009999990463257,1,5445
2500106.1000000015,471.9123229980469,318.3330993652344,3.18999981880188,1,5445
2500122.1000000015,475.9794921875,320.46954345703125,1.649999976158142,1,5445
2500139.1000000015,483.2984313964844,325.6446838378906,1.0799999237060547,1,5445
2500156.1000000015,486.7445983886719,328.29644775390625,1.3799999952316284,1,5445
2500172.1000000015,491.50274658203125,333.7926330566406,3.129999876022339,1,5445
2500190.1000000015,494.4738464355469,335.17437744140625,3.119999885559082,1,5445
2500206.1000000015,497.9331970214844,337.36505126953125,1.6399999856948853,1,5445
2500222.1000000015,501.7251892089844,340.6496276855469,3.5799999237060547,1,5445
2500239.1000000015,503.8603515625,342.04937744140625,3.419999837875366,1,5445
2500256.1000000015,507.6195983886719,348.88800048828125,1.1699999570846558,1,5445
2500272.1000000015,509.8847351074219,353.26910400390625,2.6499998569488525,1,5445
2500306.1000000015,510.5893249511719,354.79058837890625,1.5099999904632568,1,5445
2500322.1000000015,511.5278015136719,357.9617614746094,1.5499999523162842,1,5445
2500339.1000000015,511.5,359.9584045410156,1.5799999237060547,1,5445
2500356.1000000015,512.2874145507812,364.7585144042969,1.5099999904632568,1,5445
2500372.1000000015,513.2694702148438,368.2814636230469,1.4800000190734863,1,5445
2500389.1000000015,514.3264770507812,371.8959045410156,2.2300000190734863,1,5445
2500406.1000000015,516.0387573242188,376.2975158691406,2.059999942779541,1,5445
2500422.1000000015,517.6226806640625,380.3716735839844,1.0499999523162842,1,5445
2500439.1000000015,518.7448120117188,382.23345947265625,1.0099999904632568,1,5445
2500456.1000000015,523.1493530273438,388.6302185058594,1.1999999284744263,1,5445
2500472.1000000015,525.9030151367188,390.73834228515625,1.9199999570846558,1,5445
2500489.1000000015,529.566162109375,393.19146728515625,1.0299999713897705,1,5445
2500506.1000000015,534.2945556640625,395.88726806640625,1.8700000047683716,1,5445
2500522.1000000015,537.4014892578125,397.0562438964844,1.0699999332427979,1,5445
2500539.1000000015,540.69921875,397.10943603515625,1.0099999904632568,1,5445
2500556.1000000015,544.0326538085938,398.2239685058594,0.8100000023841858,1,5445
2500572.1000000015,547.9259643554688,399.68414306640625,0.7199999690055847,1,5445
2500589.1000000015,550.0416870117188,399.65631103515625,0.5799999833106995,1,5445
2500606.3000000007,551.3500366210938,398.35626220703125,0.550000011920929,1,5445
2500614.6000000015,551.3500366210938,398.35626220703125,0.5,0,5445
2504067.4000000022,324.8000183105469,107.40625,1.6899999380111694,1,5445
2504074.1000000015,324.8000183105469,107.40625,1.7400000095367432,1,5445
2504106.1000000015,326.1955261230469,107.7669677734375,2.3399999141693115,1,5445
2504139.1000000015,328.0448913574219,108.3048324584961,2.5,1,5445
2504148.1000000015,328.0500183105469,108.3062515258789,2.3899998664855957,1,5445
2504165.1000000015,328.4018249511719,108.55732727050781,2.2300000190734863,1,5445
2504190.1000000015,331.8349304199219,111.8392333984375,1.96999990940094,1,5445
2504198.1000000015,334.4214782714844,114.9840316772461,1.899999976158142,1,5445
2504223.1000000015,336.7555847167969,117.5560302734375,1.9299999475479126,1,5445
2504232.1000000015,340.49200439453125,121.06062316894531,1.96999990940094,1,5445
2504249.1000000015,345.2169494628906,125.8319320678711,2.119999885559082,1,5445
